title,sell_price,orlg_price,rating
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8
SAMSUNG 80 cm (32 inch) HD Ready LED TV,"₹12,900","₹16,400",4.3
Blaupunkt Cybersound 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 50W Speaker...,"₹24,999","₹41,999",4.6
LG 81.28 cm (32 inch) Full HD LED Smart WebOS TV,"₹18,790","₹29,990",4.7
Candes 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,999","₹48,490",4.3
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹45,990","₹69,900",4.3
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹75,990","₹1,24,900",4.2
,,,
,,,
MOTOROLA Revou 2 109 cm (43 inch) Full HD LED Smart Android TV,"₹19,999","₹33,000",4.2
SONY Bravia 108 cm (43 inch) Full HD LED Smart Linux TV,"₹34,999","₹44,900",4.6
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8
KODAK CA Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹29,999","₹47,999",4.5
iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"₹33,999","₹73,990",4.2
TOSHIBA C350LP 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and REGZA En...,"₹26,990","₹34,990",4.2
iFFALCON by TCL F52 79.97 cm (32 inch) HD Ready LED Smart Android TV,"₹13,490","₹26,990",4.2
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
TCL P615 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Audio,"₹28,990","₹62,990",4.4
Coocaa Frameless 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with With 3 Years Warranty,"₹24,999","₹59,999",4.3
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹45,990","₹69,900",4.3
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8
LG 81.28 cm (32 inch) Full HD LED Smart TV,"₹16,980","₹21,990",5
