title,sell_price,orlg_price,rating
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹26,890","₹32,490",
Haier 346 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹34,990","₹54,600",4.5
SAMSUNG 275 L Frost Free Double Door 3 Star Refrigerator,"₹27,390","₹34,990",4.3
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,499","₹22,990",4.5
Haier 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹31,990","₹52,400",4.2
Haier 628 L Frost Free Side by Side Refrigerator,"₹79,990","₹1,43,100",
Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator  with Auto Defrost,"₹17,990","₹24,050",4.3
Haier 460 L Frost Free Double Door 4 Star Convertible Refrigerator,"₹54,490","₹89,990",4.2
LG 45 L Direct Cool Single Door 2 Star Refrigerator,"₹7,965","₹10,190",4.1
Whirlpool 440 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹48,990","₹60,500",4.3
LG 190 L Direct Cool Single Door 2 Star Refrigerator,"₹17,490","₹19,990",
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹25,500","₹32,390",
,,,
,,,
LG 190 L Direct Cool Single Door 2 Star Refrigerator,"₹17,490","₹19,990",
Midea 482 L Frost Free Side by Side Refrigerator,"₹41,990","₹69,990",4.4
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹14,990","₹21,199",4.5
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,499","₹36,700",4
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Intellisense Invert...,"₹15,990","₹22,050",4.3
Godrej 343 L Frost Free Double Door 3 Star Refrigerator,"₹31,990","₹49,820",3.7
BOSCH 263 L Frost Free Double Door Top Mount 4 Star Refrigerator,"₹35,683","₹47,190",
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹16,600","₹19,990",4.5
SAMSUNG 192 L Direct Cool Single Door 1 Star Refrigerator,"₹14,000","₹15,990",4.3
Haier 376 L Frost Free Double Door Bottom Mount 3 Star Refrigerator,"₹37,990","₹65,100",4.5
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹25,500","₹32,390",
Haier 220 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,990","₹28,500",4.3
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹16,790","₹20,150",4.3
Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator,"₹14,290","₹17,600",4.2
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹29,300","₹35,967",4.6
realme TechLife 280 L Frost Free Double Door 2 Star Refrigerator,"₹19,990","₹31,490",4.3
Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator,"₹14,290","₹18,000",4.4
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,"₹23,990","₹30,200",4.1
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,"₹23,990","₹30,200",4.2
Godrej 294 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹27,990","₹34,000",4.3
Whirlpool 340 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹34,990","₹46,800",4.3
LG 204 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,990","₹26,000",4.2
Godrej 244 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹22,490","₹29,700",4.3
Haier 630 L Frost Free Side by Side Convertible Refrigerator,"₹69,990","₹1,31,900",4.5
,,,
,,,
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,490","₹22,299",
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,"₹21,990","₹29,100",4.1
Haier 630 L Frost Free Side by Side Convertible Refrigerator,"₹74,990","₹1,45,000",4.4
Hisense 564 L Frost Free Side by Side Inverter Technology Star Refrigerator  with Water Dispenser,"₹54,490","₹79,990",3.9
Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator,"₹19,290","₹25,350",4.3
LG 260 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹30,989","₹43,399",3.7
BOSCH 290 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹31,990","₹45,190",4.4
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹25,500","₹31,990",
